Startup-Time:    0.000000
timestamp, pos_x, pos_y, pos_z, vel_x, vel_y, acc_x, acc_y, acc_z, att_force_x, att_force_y, att_force_z, member_force_x, member_force_y, member_force_z, rep_force_x, rep_force_y, rep_force_z
   6.131652,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   6.194180,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   6.256708,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   6.319236,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   6.381764,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   6.444292,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   6.506820,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   6.569348,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   6.631876,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   6.694404,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
